halaman,context,context_number
1,Judul,NULL
1,Pembuka,NULL
1,Pertimbangan,Menimbang
2,Pertimbangan,NULL
2,Pengingat,Mengingat
2,Persetujuan,NULL
2,Penetapan,Menetapkan
2,BAB,I
2,Pasal,1
2,Ayat,1
2,Ayat,2
2,Ayat,3
2,Ayat,4
2,Ayat,5
3,Ayat,5
3,Ayat,6
3,Ayat,7
3,Ayat,8
3,Ayat,9
3,Ayat,10
3,Ayat,11
4,Ayat,12
4,Ayat,13
4,Ayat,14
4,Ayat,15
4,Ayat,16
4,Ayat,18
4,Ayat,19
5,Ayat,20
5,Ayat,21
5,Ayat,22
5,Ayat,23
5,Ayat,24
5,Ayat,25
5,Ayat,26
5,Ayat,27
5,Ayat,28
5,Ayat,29
5,Ayat,30
6,Ayat,31
6,Ayat,32
6,Ayat,33
6,BAB,II
6,Pasal,2
6,Pasal,3
6,Pasal,4
7,BAB,III
7,Pasal,5
7,Pasal,6
7,BAB,IV
7,Pasal,7
7,Ayat,1
7,Ayat,2
7,Ayat,3
7,Pasal,8
8,Ayat,3
8,Ayat,2
8,Ayat,3
8,BAB,V
8,Pasal,9
8,Pasal,10
8,Ayat,1
8,Ayat,2
8,Ayat,3
8,Ayat,4
8,Pasal,11
9,Pasal,12
9,Ayat,1
9,Ayat,2
9,Ayat,3
9,Pasal,13
9,Ayat,1
9,Ayat,2
9,Ayat,3
9,Pasal,14
9,Ayat,1
9,Ayat,2
9,Ayat,3
9,Ayat,4
10,Pasal,15
10,Pasal,16
10,Ayat,1
10,Ayat,2
10,Ayat,3
10,Pasal,17
10,Ayat,1
10,Ayat,2
10,Ayat,3
11,Ayat,4
11,Ayat,5
11,Ayat,6
11,Pasal,18
11,Ayat,1
11,Ayat,2
11,Ayat,3
11,Ayat,4
11,Ayat,5
11,Pasal,19
11,Pasal,20
11,Ayat,1
12,Ayat,2
12,Pasal,21
12,Pasal,22
12,Ayat,1
12,Ayat,2
12,Ayat,3
12,Pasal,23
12,Pasal,24
12,Pasal,25
12,Ayat,1
12,Ayat,2
13,Ayat,3
13,Pasal,26
13,Ayat,1
13,Ayat,2
13,Pasal,27
13,Ayat,1
13,Ayat,2
13,Pasal,28
13,Ayat,1
13,Ayat,2
14,Pasal,29
14,Ayat,1
14,Ayat,2
14,Ayat,3
14,Pasal,30
14,Ayat,1
14,Ayat,2
14,Ayat,3
14,BAB,VI
14,Pasal,31
14,Pasal,32
14,Ayat,1
15,Ayat,2
15,Ayat,3
15,Pasal,33
15,Pasal,34
15,Pasal,35
15,Ayat,1
15,Ayat,2
15,Pasal,36
15,Ayat,1
16,Ayat,2
16,Ayat,3
16,Pasal,37
16,Ayat,1
16,Ayat,2
16,Pasal,38
16,Ayat,1
16,Ayat,2
16,Ayat,3
17,BAB,VII
17,Pasal,39
17,Ayat,1
17,Ayat,2
17,Ayat,3
17,Ayat,4
17,Pasal,40
17,Ayat,1
17,Ayat,2
17,Pasal,41
17,Ayat,1
17,Ayat,2
18,Ayat,3
18,Ayat,4
18,BAB,VIII
18,Pasal,42
18,Ayat,1
18,Ayat,2
18,Ayat,3
18,Ayat,4
18,Ayat,5
18,Ayat,6
18,Pasal,43
18,Ayat,1
18,Ayat,2
19,Ayat,2
19,Ayat,3
19,Ayat,4
19,Pasal,44
19,Ayat,1
19,Ayat,2
19,Pasal,45
19,Ayat,1
19,Ayat,2
19,Pasal,46
19,Ayat,1
19,Ayat,2
20,Pasal,47
20,Ayat,1
20,Ayat,2
20,Ayat,3
20,Ayat,4
20,Pasal,48
20,Pasal,49
20,BAB,IX
20,Pasal,50
20,Pasal,51
20,Ayat,1
20,Ayat,2
21,Pasal,52
21,Ayat,1
21,Ayat,2
21,Ayat,3
21,Pasal,53
21,Pasal,54
21,Ayat,1
21,Ayat,2
22,Ayat,3
22,Pasal,55
22,Pasal,56
22,Ayat,1
22,Ayat,2
22,Pasal,57
22,Ayat,1
22,Ayat,2
22,Ayat,3
22,Pasal,58
22,Ayat,1
22,Ayat,2
23,Pasal,59
23,Ayat,1
23,Ayat,2
23,Ayat,3
23,Ayat,4
23,Ayat,5
23,Ayat,6
23,Ayat,7
23,Ayat,8
23,Pasal,60
23,Ayat,1
24,Ayat,2
24,Pasal,61
24,Ayat,1
24,Ayat,2
24,Ayat,3
24,Ayat,4
24,Ayat,5
25,Pasal,62
25,Pasal,63
25,Ayat,1
25,Ayat,2
25,Pasal,64
25,Pasal,65
25,Ayat,1
25,Ayat,2
26,Ayat,2
26,Ayat,3
26,Ayat,4
26,Ayat,5
26,Ayat,6
26,Ayat,7
26,Ayat,8
26,Ayat,9
26,Pasal,66
26,Ayat,1
27,Ayat,2
27,Ayat,3
27,Ayat,4
27,BAB,X
27,Bagian,Kesatu
27,Paragraf,1
28,Pasal,67
28,Ayat,1
28,Ayat,2
28,Paragraf,2
28,Pasal,68
28,Pasal,69
28,Ayat,1
28,Ayat,2
28,Ayat,3
28,Pasal,70
28,Ayat,1
29,Ayat,2
29,Ayat,3
29,Pasal,71
29,Ayat,1
29,Ayat,2
29,Ayat,3
29,Pasal,72
29,Pasal,73
29,Pasal,74
29,Ayat,1
30,Ayat,2
30,Ayat,3
30,Pasal,75
30,Ayat,1
30,Ayat,2
30,Paragraf,3
30,Pasal,76
30,Ayat,1
30,Ayat,2
31,Ayat,3
31,Ayat,4
31,Ayat,5
31,Paragraf,4
31,Pasal,77
31,Ayat,1
31,Ayat,2
31,Ayat,3
31,Ayat,4
31,Pasal,78
31,Ayat,1
31,Ayat,2
32,Ayat,3
32,Ayat,4
32,Pasal,79
32,Ayat,1
32,Ayat,2
32,Ayat,3
32,Ayat,4
32,Ayat,5
33,Pasal,80
33,Pasal,81
33,Ayat,1
33,Ayat,2
33,Pasal,82
33,Ayat,1
33,Ayat,2
33,Pasal,83
33,Pasal,84
33,Pasal,85
33,Ayat,1
34,Ayat,2
34,Ayat,3
34,Ayat,4
34,Paragraf,5
34,Pasal,86
34,Ayat,1
34,Ayat,2
34,Ayat,3
34,Pasal,87
34,Ayat,1
34,Ayat,2
35,Bagian,Kedua
35,Pasal,88
35,Ayat,1
35,Ayat,2
35,Ayat,3
35,Ayat,4
35,Pasal,89
35,Ayat,1
36,Ayat,2
36,Ayat,3
36,Ayat,4
36,Pasal,90
36,Ayat,1
36,Ayat,2
36,Ayat,3
36,Pasal,91
36,Ayat,1
36,Ayat,2
36,Pasal,92
36,Ayat,1
36,Ayat,2
37,Ayat,3
37,Pasal,93
37,Ayat,1
37,Ayat,2
37,Ayat,3
38,Ayat,3
38,Ayat,4
38,Ayat,5
38,Pasal,94
38,Pasal,95
38,Ayat,1
38,Ayat,2
38,Ayat,3
39,Ayat,4
39,Pasal,96
39,Pasal,97
39,Pasal,98
39,Ayat,1
39,Ayat,2
39,Ayat,3
39,Ayat,4
40,Bagian,Ketiga
40,Pasal,99
40,Ayat,1
40,Ayat,2
40,Pasal,100
40,Ayat,1
40,Ayat,2
40,Ayat,3
40,Pasal,101
40,Ayat,1
40,Ayat,2
40,Ayat,3
40,Ayat,4
41,BAB,XI
41,Bagian,Kesatu
41,Pasal,102
41,Ayat,1
41,Ayat,2
41,Ayat,3
41,Pasal,103
42,Bagian,Kedua
42,Pasal,104
42,Ayat,1
42,Ayat,2
42,Ayat,3
42,Bagian,Ketiga
42,Pasal,105
42,Ayat,1
42,Ayat,2
42,Bagian,Keempat
42,Pasal,106
42,Ayat,1
42,Ayat,2
43,Ayat,3
43,Ayat,4
43,Bagian,Kelima
43,Pasal,107
43,Ayat,1
43,Ayat,2
43,Ayat,3
43,Ayat,4
43,Bagian,Keenam
43,Pasal,108
43,Ayat,1
44,Ayat,2
44,Pasal,109
44,Pasal,110
44,Ayat,1
44,Ayat,2
44,Ayat,3
44,Pasal,111
44,Ayat,1
44,Ayat,2
44,Ayat,3
45,Ayat,4
45,Ayat,5
45,Pasal,112
45,Ayat,1
45,Ayat,2
45,Ayat,3
45,Ayat,4
45,Pasal,113
45,Ayat,1
45,Ayat,2
46,Pasal,114
46,Pasal,115
46,Bagian,Ketujuh
46,Pasal,116
46,Ayat,1
46,Ayat,2
46,Ayat,3
46,Ayat,4
46,Pasal,117
47,Pasal,118
47,Pasal,119
47,Ayat,1
47,Ayat,2
47,Ayat,3
47,Pasal,120
47,Ayat,1
48,Ayat,2
48,Ayat,3
48,Pasal,121
48,Pasal,122
48,Pasal,123
48,Ayat,1
48,Ayat,2
48,Ayat,3
48,Ayat,4
49,Pasal,124
49,Ayat,1
49,Ayat,2
49,Ayat,3
49,Pasal,125
49,Pasal,126
49,Ayat,1
49,Ayat,2
49,Ayat,3
49,Pasal,127
50,Ayat,2
50,Pasal,128
50,Pasal,129
50,Ayat,1
50,Ayat,2
50,Pasal,130
50,Ayat,1
50,Ayat,2
51,Ayat,3
51,Pasal,131
51,Ayat,1
51,Ayat,2
51,Ayat,3
51,Pasal,132
51,Ayat,1
51,Ayat,2
51,Pasal,133
52,Pasal,134
52,Pasal,135
52,Bagian,Kedelapan
52,Paragraf,1
52,Pasal,136
52,Ayat,1
52,Ayat,2
52,Paragraf,2
52,Pasal,137
53,Pasal,138
53,Ayat,1
53,Ayat,2
53,Pasal,139
53,Pasal,140
53,Ayat,1
53,Ayat,2
53,Ayat,3
54,Ayat,4
54,Pasal,141
54,Ayat,1
54,Ayat,2
54,Ayat,3
54,Ayat,4
54,Ayat,5
55,Pasal,142
55,Ayat,1
55,Ayat,2
55,Pasal,143
55,Ayat,1
55,Ayat,2
55,Pasal,144
55,Pasal,145
56,Paragraf,3
56,Pasal,146
56,Ayat,1
56,Ayat,2
56,Ayat,3
56,Pasal,147
56,Pasal,148
56,Ayat,1
56,Ayat,2
56,Ayat,3
57,Pasal,149
57,Ayat,1
57,Ayat,2
57,Ayat,3
57,Ayat,4
57,Ayat,5
57,Ayat,6
58,BAB,XII
58,Pasal,150
58,Pasal,151
58,Ayat,1
58,Ayat,2
58,Ayat,3
58,Pasal,152
58,Ayat,1
58,Ayat,2
59,Ayat,3
59,Pasal,153
59,Ayat,1
60,Ayat,1
60,Ayat,2
60,Pasal,154
60,Pasal,155
60,Ayat,1
60,Ayat,2
60,Ayat,3
61,Pasal,156
61,Ayat,1
61,Ayat,2
61,Ayat,3
62,Ayat,3
62,Ayat,4
62,Ayat,5
62,Pasal,157
62,Ayat,1
63,Ayat,2
63,Ayat,3
63,Ayat,4
63,Pasal,158
63,Ayat,1
64,Ayat,1
64,Ayat,2
64,Ayat,3
64,Ayat,4
64,Pasal,159
64,Pasal,160
64,Ayat,1
65,Ayat,1
65,Ayat,2
65,Ayat,3
65,Ayat,4
65,Ayat,5
65,Ayat,6
65,Ayat,7
66,Pasal,161
66,Ayat,1
66,Ayat,2
66,Ayat,3
66,Pasal,162
66,Ayat,1
66,Ayat,2
66,Ayat,3
67,Ayat,4
67,Pasal,163
67,Ayat,1
67,Ayat,2
67,Pasal,164
67,Ayat,1
67,Ayat,2
68,Ayat,3
68,Pasal,165
68,Pasal,166
68,Pasal,167
68,Ayat,1
69,Ayat,2
69,Ayat,3
69,Ayat,4
69,Ayat,5
69,Pasal,168
69,Ayat,1
69,Ayat,2
70,Ayat,3
70,Pasal,169
70,Ayat,1
70,Ayat,2
71,Ayat,3
71,Pasal,170
71,Pasal,171
71,Pasal,172
72,BAB,XIII
72,Pasal,173
72,Ayat,1
72,Ayat,2
72,Ayat,3
72,Pasal,174
72,Pasal,175
72,Ayat,1
72,Ayat,2
72,BAB,XIV
72,Pasal,176
73,Pasal,177
73,Pasal,178
73,Ayat,1
73,Ayat,2
73,Pasal,179
73,Ayat,1
73,Ayat,2
73,Pasal,180
73,Pasal,181
74,BAB,XV
74,Pasal,182
74,Ayat,1
74,Ayat,2
74,Ayat,3
74,BAB,XVI
74,Bagian,Pertama
75,Pasal,183
75,Ayat,1
75,Ayat,2
75,Pasal,184
75,Ayat,1
75,Ayat,2
75,Pasal,185
75,Ayat,2
76,Pasal,186
76,Ayat,1
76,Ayat,2
76,Pasal,187
76,Ayat,1
76,Ayat,2
76,Pasal,188
76,Ayat,1
76,Ayat,2
76,Pasal,189
77,Bagian,Kedua
77,Pasal,190
77,Ayat,1
77,Ayat,2
77,Ayat,3
77,BAB,XVII
77,Pasal,191
78,BAB,XVIII
78,Pasal,192
78,Ayat,1
78,Ayat,2
78,Ayat,3
78,Ayat,4
78,Ayat,5
78,Ayat,6
78,Ayat,7
78,Ayat,8
78,Ayat,9
78,Ayat,10
78,Ayat,11
79,Ayat,12
79,Ayat,13
79,Ayat,14
79,Ayat,15
79,Pasal,193
